year,flat_type,resale_price
2015-01,3 ROOM,255000
2015-01,3 ROOM,275000
2015-01,3 ROOM,285000
2015-01,3 ROOM,290000
2015-01,3 ROOM,290000
2015-01,3 ROOM,290000
2015-01,3 ROOM,290000
2015-01,3 ROOM,293000
2015-01,3 ROOM,300000
2015-01,3 ROOM,307500
2015-01,3 ROOM,308000
2015-01,3 ROOM,312000
2015-01,3 ROOM,312000
2015-01,3 ROOM,319000
2015-01,3 ROOM,320000
2015-01,3 ROOM,320000
2015-01,3 ROOM,325000
2015-01,3 ROOM,325000
2015-01,3 ROOM,325000
2015-01,3 ROOM,330000
2015-01,3 ROOM,330000
2015-01,3 ROOM,335000
2015-01,3 ROOM,338000
2015-01,3 ROOM,340000
2015-01,3 ROOM,340000
2015-01,3 ROOM,341000
2015-01,3 ROOM,345000
2015-01,3 ROOM,350000
2015-01,3 ROOM,355000
2015-01,3 ROOM,355000
2015-01,3 ROOM,370000
2015-01,3 ROOM,410000
2015-01,4 ROOM,385000
2015-01,4 ROOM,410000
2015-01,4 ROOM,416888
2015-01,4 ROOM,423000
2015-01,4 ROOM,438000
2015-01,4 ROOM,438000
2015-01,4 ROOM,450000
2015-01,4 ROOM,450000
2015-01,4 ROOM,465000
2015-01,4 ROOM,465000
2015-01,4 ROOM,475000
2015-01,4 ROOM,475000
2015-01,4 ROOM,476000
2015-01,4 ROOM,480000
2015-01,4 ROOM,483000
2015-01,4 ROOM,485000
2015-01,4 ROOM,486888
2015-01,4 ROOM,583000
2015-01,4 ROOM,600888
2015-01,5 ROOM,533000
2015-01,5 ROOM,570000
2015-01,5 ROOM,580000
2015-01,5 ROOM,645000
2015-01,5 ROOM,650000
2015-01,5 ROOM,670000
2015-01,5 ROOM,755000
2015-01,5 ROOM,820000
2015-01,2 ROOM,246000
2015-01,2 ROOM,255000
2015-01,3 ROOM,270000
2015-01,3 ROOM,280000
2015-01,3 ROOM,280000
2015-01,3 ROOM,282000
2015-01,3 ROOM,285000
2015-01,3 ROOM,285000
2015-01,3 ROOM,285000
2015-01,3 ROOM,285000
2015-01,3 ROOM,285000
2015-01,3 ROOM,285000
2015-01,3 ROOM,288000
2015-01,3 ROOM,288000
2015-01,3 ROOM,290000
2015-01,3 ROOM,291000
2015-01,3 ROOM,292000
2015-01,3 ROOM,295000
2015-01,3 ROOM,300000
2015-01,3 ROOM,300000
2015-01,3 ROOM,305000
2015-01,3 ROOM,308000
2015-01,3 ROOM,310000
2015-01,3 ROOM,310000
2015-01,3 ROOM,310000
2015-01,3 ROOM,310000
2015-01,3 ROOM,310800
2015-01,3 ROOM,313000
2015-01,3 ROOM,315000
2015-01,3 ROOM,315000
2015-01,3 ROOM,315000
2015-01,3 ROOM,318000
2015-01,3 ROOM,320000
2015-01,3 ROOM,320000
2015-01,3 ROOM,320000
2015-01,3 ROOM,323000
2015-01,3 ROOM,332000
2015-01,3 ROOM,338000
2015-01,3 ROOM,339000
2015-01,3 ROOM,342000
2015-01,3 ROOM,355000
2015-01,3 ROOM,358000
2015-01,3 ROOM,378000
2015-01,3 ROOM,458000
2015-01,3 ROOM,500000
2015-01,4 ROOM,355000
2015-01,4 ROOM,360000
2015-01,4 ROOM,369000
2015-01,4 ROOM,378000
2015-01,4 ROOM,385000
2015-01,4 ROOM,388000
2015-01,4 ROOM,390000
2015-01,4 ROOM,395000
2015-01,4 ROOM,397000
2015-01,4 ROOM,400000
2015-01,4 ROOM,405000
2015-01,4 ROOM,408000
2015-01,4 ROOM,410000
2015-01,4 ROOM,415000
2015-01,4 ROOM,418000
2015-01,4 ROOM,420000
2015-01,4 ROOM,425000
2015-01,4 ROOM,438000
2015-01,4 ROOM,441888
2015-01,4 ROOM,450000
2015-01,4 ROOM,485000
2015-01,4 ROOM,500000
2015-01,4 ROOM,530000
2015-01,4 ROOM,560000
2015-01,5 ROOM,420000
2015-01,5 ROOM,440000
2015-01,5 ROOM,480000
2015-01,5 ROOM,500000
2015-01,5 ROOM,500000
2015-01,5 ROOM,530000
2015-01,5 ROOM,550000
