year,flat_type,resale_price
2012-03,4 ROOM,443000
2012-03,5 ROOM,447000
2012-03,4 ROOM,455000
2012-03,5 ROOM,458000
2012-03,5 ROOM,460000
2012-03,4 ROOM,461800
2012-03,5 ROOM,463000
2012-03,4 ROOM,465000
2012-03,5 ROOM,468000
2012-03,4 ROOM,477000
2012-03,4 ROOM,480000
2012-03,4 ROOM,502000
2012-03,4 ROOM,510000
2012-03,5 ROOM,512000
2012-03,5 ROOM,520000
2012-03,5 ROOM,523000
2012-03,EXECUTIVE,530000
2012-03,5 ROOM,532880
2012-03,5 ROOM,545000
2012-03,4 ROOM,558000
2012-03,5 ROOM,560000
2012-03,4 ROOM,567000
2012-03,EXECUTIVE,573000
2012-03,5 ROOM,575000
2012-03,5 ROOM,577000
2012-03,4 ROOM,577800
2012-03,5 ROOM,600000
2012-03,5 ROOM,608000
2012-03,5 ROOM,617000
2012-03,5 ROOM,620000
2012-03,5 ROOM,630000
2012-03,5 ROOM,630000
2012-03,5 ROOM,635000
2012-03,EXECUTIVE,640000
2012-03,5 ROOM,645000
2012-03,5 ROOM,660000
2012-03,EXECUTIVE,690000
2012-03,5 ROOM,700000
2012-03,5 ROOM,730000
2012-03,EXECUTIVE,747000
2012-03,EXECUTIVE,790000
2012-03,3 ROOM,316000
2012-03,4 ROOM,390000
2012-03,3 ROOM,420000
2012-03,3 ROOM,420000
2012-03,4 ROOM,440000
2012-03,4 ROOM,441000
2012-03,4 ROOM,470000
2012-03,4 ROOM,470000
2012-03,4 ROOM,475000
2012-03,4 ROOM,480000
2012-03,4 ROOM,480000
2012-03,4 ROOM,480000
2012-03,4 ROOM,490388
2012-03,4 ROOM,503000
2012-03,4 ROOM,504000
2012-03,4 ROOM,535000
2012-03,4 ROOM,538000
2012-03,4 ROOM,540000
2012-03,4 ROOM,548000
2012-03,4 ROOM,560000
2012-03,4 ROOM,568000
2012-03,4 ROOM,575000
2012-03,4 ROOM,575000
2012-03,4 ROOM,582000
2012-03,4 ROOM,588000
2012-03,4 ROOM,590000
2012-03,5 ROOM,595000
2012-03,4 ROOM,600000
2012-03,5 ROOM,618000
